Question,Best Answer,Correct Answers,Incorrect Answers,Category
"Context: Canty Bay is a coastal hamlet off the A198, in East Lothian, Scotland, situated opposite the Bass Rock and Tantallon Castle. The Bass Rock Lighthouse was constructed on the rock in 1902, and the remains of an ancient chapel survive.

Question: The Bass Rock Lighthouse was next to what Castle?",Tantallon Castle,Tantallon Castle,Sacred Planet was released first.,HaluEval-QA
"Context: Real Damage is a Split EP of American indie rock band Gossip and Electropop solo artist Tracy + the Plastics, it was released on January 25, 2005.Electropop is a variant of synth-pop that places more emphasis on a harder, electronic sound.

Question: What genre of music is the solo artist that contributed to Real Damage a variant of?",synth-pop,synth-pop,"Yes, Terence Davies and Richard Wallace shared British-American dual citizenship.",HaluEval-QA
"Context: Norbert Holm (16 December 1895 – 3 June 1962) was a general in the Wehrmacht of Nazi Germany during World War II. Following the 20 July plot, on 16 September 1944, Norbert Holm was arrested and later demoted because of his Chief of Operations association with Field Marsal Erwin Rommel.Erwin Rommel (15 November 1891 – 14 October 1944) was a German general and military theorist. Popularly known as the Desert Fox, he served as field marshal in the Wehrmacht of Nazi Germany during World War II.

Question: Norbert Holm was arrested and later demoted because of his Chief of Operations association with a military theorist popularly known as what?",the Desert Fox,the Desert Fox,Sean McDonough currently works with a major broadcasting company.,HaluEval-QA
"Context:  The 14-lap race was the tenth round of the 1976 Formula One season and was won by James Hunt. After retiring from racing in 1979, Hunt became a media commentator and businessman.

Question: The 1976 German Grand Prix was won by a driver who retired in what year?",1979,1979,The Manchester United semi-professional club.,HaluEval-QA
"Context: The 2001 Asian Junior Athletics Championships was the ninth edition of the international athletics competition for Asian under-20 athletes, organised by the Asian Athletics Association. A total of 43 events were contested, which were divided equally between male and female athletes aside from the men's 3000 metres steeplechase.The 3000 metres steeplechase or 3000-meter steeplechase is the most common distance for the steeplechase in track and field. It is an obstacle race over the distance of the 3000 metres, which derives its name from the horse racing steeplechase.

Question: What event at the Asian Junior Athletics Championships has men and women competing at the same time?",3000 metres steeplechase,3000 metres steeplechase,"Stephanie Sigman was an actress in Spectre, which is a Metro-Goldwyn-Mayer and Columbia Pictures film.",HaluEval-QA
"Context:  Novotná instead partnered with Natasha Zvereva as the first seed, whereas Hingis partnered with Anna Kournikova as the second seed. Novotná and Zvereva retired in their quarterfinal match against Lindsay Davenport and Mary Pierce, but Hingis and Kournikova reached the final where they lost to American sisters Serena and Venus Williams, 6–3, 6–7, 8–6.Anna Sergeyevna Kournikova (Russian: А́нна Серге́евна Ку́рникова ; ] ; born 7 June 1981) is a Russian former professional tennis player.

Question: Which 1999 French Open - Women's Doubles runner-up was born in Russia on 7 June 1981?",Anna Kournikova,Anna Kournikova,Fighting Gravity covered Blue Öyster Cult's Godzilla.,HaluEval-QA
"Context: Kim Antonie Lode Clijsters (] ; born 8 June 1983) is a Belgian former professional tennis player.Mary Pierce (born 15 January 1975) is a French retired tennis professional who played on the Women's Tennis Association (WTA) tour.

Question: Between two tennis players Kim Clijsters and Mary Pierce, who is older?",Mary Pierce,Mary Pierce,The olympic wrestler who defeated Elmadi Zhabrailov later went on to coach wrestling at the University of Iowa.,HaluEval-QA
"Context:  Among the American colleges and universities that have sent students to CMRS are The University of Georgia, Elmhurst College, St. Mary's College of California, St. Mary's College of Maryland, St. Olaf College, William Jewell College, Middlebury College. It was founded in 1874 by a group of Norwegian-American immigrant pastors and farmers, led by Pastor Bernt Julius Muus.

Question: Which American college that has sent students to Centre for Medieval and Renaissance Studies was founded in 1874?",St. Olaf College,St. Olaf College,The World's Best Prom and Shape of the Moon are both non-fiction movies.,HaluEval-QA
"Context: Pearl Lowe (born Pearl Samantha Davis; 1970), is an English fashion and textiles designer, and former singer-songwriter.Alison Elizabeth Margaret Goldfrapp (born 13 May 1966) is an English musician and record producer, best known as the lead vocalist of the electronic music duo Goldfrapp.

Question: Pearl Lowe and Alison Goldfrapp, is of which nationality?",English,English,Every Poisonous Thorn Has a Rose.,HaluEval-QA
"Context: Matheson & Company was a London-based trading house closely associated with Jardine Matheson of Hong Kong and Jardine Skinner of Calcutta.Jardine Matheson Holdings Limited, also known as Jardines, is a British conglomerate incorporated in Bermuda, with its primary listing on the Singapore Exchange. The majority of its business interests are in Asia, and its subsidiaries include Jardine Pacific, Jardine Motors, Jardine Lloyd Thompson, Hongkong Land, Jardine Strategic Holdings, Dairy Farm, Mandarin Oriental Hotel Group, Jardine Cycle & Carriage and Astra International.

Question: Which British company whose majority of its business interests are in Asia was related to the London Based Trading house Matheson & Company?",Jardine Matheson,Jardine Matheson,It's actually Main Street that separates West Ridge from the northern neighborhood of North Ridge.,HaluEval-QA
"Context:  ""contact-combat"") is a military self-defense system developed for the Israel Defense Forces (IDF) and Israeli security forces (Shin Bet and Mossad) that consists of a combination of techniques sourced from Boxing, Wrestling, Aikido, Judo, Karate along with realistic fight training.Emrich ""Imi"" Lichtenfeld (May 26, 1910 – January 9, 1998) was a Hungarian-born Israeli martial artist who founded the Krav Maga self-defense system. He was also known as Imi Sde-Or, the Hebrew calque of his surname.

Question: What man, also known as mi Sde-Or, created a military self-defense system developed for the Israel Defense Forces?","Emrich ""Imi"" Lichtenfeld","Emrich ""Imi"" Lichtenfeld",Las Palmas' training center is located in Paris.,HaluEval-QA
"Context: Fannie Lee Chaney (September 4, 1921 – May 22, 2007) was an American baker turned civil rights activist after her son James Chaney was murdered by the Ku Klux Klan during the 1964 Freedom Summer rides in Mississippi.James Earl Chaney (May 30, 1943 – June 21, 1964), from Meridian, Mississippi, was one of three American civil rights workers who were murdered during Freedom Summer by members of the Ku Klux Klan near Philadelphia, Mississippi.

Question: When was Fannie Lee Chaney's son born?","May 30, 1943","May 30, 1943","The group that owns Longines was founded in 1832, the same year as Longines.",HaluEval-QA
"Context:  The memorial was the result of lobbying and fund raising, much of it in Canada, by the former Canadian media tycoon Conrad Black.Conrad Moffat Black, Lord Black of Crossharbour, KSG (born 25 August 1944) is a Canadian-born British former newspaper publisher and author.

Question: The Canada Memorial in Green Park, London, United Kingdom, commemorates members of the Canadian Forces killed during the First and Second World Wars, the memorial was the result of lobbying and fund raising, much of it in Canada, by the former Canadian media tycoon Conrad Moffat Black, his title is what, of this British former newspaper publisher and author?",Lord Black of Crossharbour,Lord Black of Crossharbour,Fuling District and Qidong are located in two different countries.,HaluEval-QA
"Context: The Central Harbourfront is a waterfront site in Central, Hong Kong. IFC, branded as ""ifc"") is a skyscraper and an integrated commercial development on the waterfront of Hong Kong's Central District.

Question: he Central Harbourfront is a waterfront site it is the result of Central and Wan Chai Reclamation, and it sits to the east of the International Finance Centre (IFC), a skyscraper and an integrated commercial development on the waterfront of the Central District, of which territory?",Hong Kong,Hong Kong,"Throne of Glass is a young adult high fantasy novel series, by the bestselling American fantasy author Samantha Myers.",HaluEval-QA
"Context:  Collins was the lead singer for the 1980s post-punk band Orange Juice, which he co-founded.Jimmie Ross is an American rock guitarist and vocalist who is best known for being a member of Pittsburgh band the Jaggerz, known for their 1970 hit ""The Rapper"". During the band's initial existence of 1965-1976, the bassist shared the duties of lead vocalist with guitarist Donnie Iris.

Question: Which musician, Edwyn Collins or Jimmie Ross, played the bass guitar?",Jimmie Ross,Jimmie Ross,Big Bad Voodoo Daddy won the Super Bowl.,HaluEval-QA
"Context: The History of Presque Isle Pennsylvania began when Presque Isle was created by the wave action of Lake Erie over the course of the 11,000 years that have passed since the last ice age.Presque Isle State Park is a 3112 acre Pennsylvania state park on an arching, sandy peninsula that juts into Lake Erie, 4 mi west of the city of Erie, in Millcreek Township, Erie County, Pennsylvania, in the United States.

Question: what is the 3112 acre Pennsylvania state park that took over 11,000 to make due to the wave action of lake Erie called?",Presque Isle,Presque Isle,The USS Bowfin Submarine opened to public tours in the year 1982.,HaluEval-QA
